ID;roomID;roomNo;Description;areClosed;Area (m2);Vertex_Indices;World_Coords_XY
52;100;;;0;1,94;[589, 590, 117, 118];[(-14.789, 16.819), (-14.789, 17.584), (-17.324, 17.584), (-17.324, 16.819)]
53;100;;;0;0,13;[118, 117, 119, 120];[(-17.324, 16.819), (-17.324, 17.584), (-17.499, 17.584), (-17.499, 16.819)]
54;100;;;0;0,49;[122, 121, 123, 124];[(-31.779, 16.819), (-31.779, 17.584), (-32.413, 17.584), (-32.413, 16.819)]
55;100;;;0;2,53;[122, 124, 126, 125];[(-31.779, 16.819), (-32.413, 16.819), (-32.413, 12.83), (-31.779, 12.83)]
56;100;;;0;0,30;[125, 126, 128, 127];[(-31.779, 12.83), (-32.413, 12.83), (-32.413, 12.361), (-31.779, 12.361)]
57;100;;;0;1,02;[127, 128, 130, 129];[(-31.779, 12.361), (-32.413, 12.361), (-32.413, 10.751), (-31.779, 10.751)]
58;100;;;0;0,48;[129, 130, 137, 132, 131];[(-31.779, 10.751), (-32.413, 10.751), (-32.413, 10.663), (-32.413, 10.0), (-31.779, 10.0)]
59;100;;;0;0,12;[129, 131, 134, 133];[(-31.779, 10.751), (-31.779, 10.0), (-31.618, 10.0), (-31.618, 10.751)]
60;100;;;0;0,07;[131, 132, 136, 135];[(-31.779, 10.0), (-32.413, 10.0), (-32.413, 9.891), (-31.779, 9.891)]
61;100;;;0;1,29;[132, 137, 139, 138];[(-32.413, 10.0), (-32.413, 10.663), (-34.359, 10.663), (-34.359, 10.0)]
62;100;;;0;0,27;[138, 139, 141, 140];[(-34.359, 10.0), (-34.359, 10.663), (-34.767, 10.663), (-34.767, 10.0)]
63;100;;;0;2,67;[140, 141, 143, 142];[(-34.767, 10.0), (-34.767, 10.663), (-38.797, 10.663), (-38.797, 10.0)]
64;100;;;0;0,43;[142, 143, 145, 144];[(-38.797, 10.0), (-38.797, 10.663), (-39.446, 10.663), (-39.446, 10.0)]
65;100;;;0;1,35;[142, 144, 147, 146];[(-38.797, 10.0), (-39.446, 10.0), (-39.446, 7.923), (-38.797, 7.923)]
66;100;;;0;1,09;[149, 148, 151, 152];[(-39.446, 2.0), (-39.446, 2.731), (-40.932, 2.731), (-40.932, 2.0)]
67;100;;;0;0,47;[152, 151, 153, 154];[(-40.932, 2.0), (-40.932, 2.731), (-41.579, 2.731), (-41.579, 2.0)]
68;100;;;0;1,84;[155, 156, 152, 154];[(-41.588, -0.825), (-40.932, -0.825), (-40.932, 2.0), (-41.579, 2.0)]
69;100;;;0;0,50;[156, 155, 157, 158];[(-40.932, -0.825), (-41.588, -0.825), (-41.588, -1.586), (-40.932, -1.586)]
70;100;;;0;1,12;[156, 158, 160, 159];[(-40.932, -0.825), (-40.932, -1.586), (-39.463, -1.586), (-39.463, -0.825)]
71;100;;;0;0,50;[159, 160, 162, 163, 161];[(-39.463, -0.825), (-39.463, -1.586), (-38.807, -1.586), (-38.807, -1.311), (-38.807, -0.825)]
72;100;;;0;2,45;[503, 504, 164, 165];[(-38.807, -9.167), (-39.463, -9.167), (-39.463, -12.904), (-38.807, -12.904)]
73;100;;;0;0,39;[165, 164, 166, 167];[(-38.807, -12.904), (-39.463, -12.904), (-39.463, -13.501), (-38.807, -13.501)]
74;100;;;0;2,41;[165, 167, 169, 168];[(-38.807, -12.904), (-38.807, -13.501), (-34.77, -13.501), (-34.77, -12.904)]
75;100;;;0;0,26;[168, 169, 171, 170];[(-34.77, -12.904), (-34.77, -13.501), (-34.34, -13.501), (-34.34, -12.904)]
76;100;;;0;1,17;[170, 171, 173, 172];[(-34.34, -12.904), (-34.34, -13.501), (-32.387, -13.501), (-32.387, -12.904)]
77;100;;;0;0,25;[172, 173, 175, 174];[(-32.387, -12.904), (-32.387, -13.501), (-31.965, -13.501), (-31.965, -12.904)]
78;100;;;0;2,39;[174, 175, 177, 176];[(-31.965, -12.904), (-31.965, -13.501), (-27.964, -13.501), (-27.964, -12.904)]
79;100;;;0;0,41;[176, 177, 179, 178];[(-27.964, -12.904), (-27.964, -13.501), (-27.279, -13.501), (-27.279, -12.904)]
80;100;;;0;6,79;[181, 180, 176, 178];[(-27.279, -2.987), (-27.964, -2.987), (-27.964, -12.904), (-27.279, -12.904)]
81;100;;;0;0,14;[180, 181, 183, 182];[(-27.964, -2.987), (-27.279, -2.987), (-27.279, -2.783), (-27.964, -2.783)]
82;100;;;0;5,49;[182, 183, 185, 184];[(-27.964, -2.783), (-27.279, -2.783), (-27.279, 5.238), (-27.964, 5.238)]
83;100;;;0;0,51;[184, 185, 187, 188, 186];[(-27.964, 5.238), (-27.279, 5.238), (-27.279, 5.989), (-27.483, 5.989), (-27.964, 5.989)]
84;100;;;0;3,56;[185, 191, 192, 187];[(-27.279, 5.238), (-22.542, 5.238), (-22.542, 5.989), (-27.279, 5.989)]
85;100;;;0;0,11;[588, 585, 586, 587];[(-22.19, 17.584), (-22.34, 17.584), (-22.34, 16.819), (-22.19, 16.819)]
86;100;;;0;0,11;[192, 191, 193, 194];[(-22.542, 5.989), (-22.542, 5.238), (-22.399, 5.238), (-22.399, 5.989)]
87;100;;;0;3,60;[194, 193, 195, 196];[(-22.399, 5.989), (-22.399, 5.238), (-17.609, 5.238), (-17.609, 5.989)]
88;100;;;0;0,16;[196, 195, 197, 198];[(-17.609, 5.989), (-17.609, 5.238), (-17.402, 5.238), (-17.402, 5.989)]
89;1;;;0;0,29;[207, 205, 213, 214];[(-8.303, 10.12), (-8.303, 10.448), (-9.192, 10.448), (-9.192, 10.12)]
90;100;;;0;1,41;[213, 215, 216, 214];[(-9.192, 10.448), (-13.498, 10.448), (-13.498, 10.12), (-9.192, 10.12)]
91;100;;;0;0,16;[206, 204, 208, 210, 209];[(-7.418, 10.12), (-6.951, 10.096), (-6.951, 10.448), (-7.359, 10.448), (-7.418, 10.448)]
92;1;;;0;0,44;[343, 342, 344, 345];[(-6.329, 12.83), (-6.329, 12.361), (-5.4, 12.361), (-5.4, 12.83)]
93;100;;;0;0,29;[206, 209, 205, 207];[(-7.418, 10.12), (-7.418, 10.448), (-8.303, 10.448), (-8.303, 10.12)]
94;100;;;0;1,86;[2, 211, 212, 0];[(-6.917, 6.003), (-6.92, 9.679), (-7.418, 9.679), (-7.431, 6.003)]
95;100;;;0;1,28;[354, 201, 202, 617, 356];[(2.64, 9.657), (5.544, 9.657), (5.544, 10.096), (2.754, 10.096), (2.64, 10.096)]
96;1;;;0;0,37;[7, 6, 5, 365];[(-5.719, 10.096), (-5.719, 9.679), (-4.837, 9.679), (-4.837, 10.096)]
97;100;;;0;0,72;[218, 217, 219, 220];[(-14.402, 10.12), (-14.402, 10.448), (-16.588, 10.448), (-16.588, 10.12)]
98;1;;;0;0,30;[216, 215, 217, 218];[(-13.498, 10.12), (-13.498, 10.448), (-14.402, 10.448), (-14.402, 10.12)]
99;100;;;0;0,13;[220, 219, 221, 222];[(-16.588, 10.12), (-16.588, 10.448), (-16.99, 10.448), (-16.99, 10.12)]
100;100;;;0;0,14;[222, 221, 223, 224];[(-16.99, 10.12), (-16.99, 10.448), (-17.413, 10.448), (-17.413, 10.12)]
101;100;;;0;0,06;[224, 223, 225, 226];[(-17.413, 10.12), (-17.413, 10.448), (-17.605, 10.448), (-17.605, 10.12)]
102;100;;;0;0,05;[221, 219, 227, 228];[(-16.99, 10.448), (-16.588, 10.448), (-16.588, 10.579), (-16.99, 10.579)]
103;100;;;0;0,31;[226, 225, 229, 230];[(-17.605, 10.12), (-17.605, 10.448), (-18.56, 10.448), (-18.56, 10.12)]
104;1;;;0;0,30;[230, 229, 231, 232];[(-18.56, 10.12), (-18.56, 10.448), (-19.471, 10.448), (-19.471, 10.12)]
105;100;;;0;0,34;[569, 233, 234, 570];[(-22.548, 10.448), (-23.588, 10.448), (-23.588, 10.12), (-22.548, 10.12)]
106;1;;;0;0,29;[234, 233, 235, 236];[(-23.588, 10.12), (-23.588, 10.448), (-24.485, 10.448), (-24.485, 10.12)]
107;100;;;0;0,18;[238, 237, 239, 240];[(-27.509, 10.12), (-27.509, 10.448), (-27.968, 10.448), (-27.968, 10.002)]
108;100;;;0;0,06;[239, 237, 241, 242];[(-27.968, 10.448), (-27.509, 10.448), (-27.509, 10.579), (-27.968, 10.579)]
109;100;;;0;0,04;[240, 239, 243, 244];[(-27.968, 10.002), (-27.968, 10.448), (-28.063, 10.448), (-28.063, 10.002)]
110;100;;;0;1,04;[238, 240, 246, 245];[(-27.509, 10.12), (-27.968, 10.002), (-27.968, 7.801), (-27.509, 7.801)]
111;100;;;0;0,19;[245, 246, 248, 247];[(-27.509, 7.801), (-27.968, 7.801), (-27.968, 7.385), (-27.509, 7.385)]
112;100;;;0;0,66;[188, 247, 248, 186];[(-27.483, 5.989), (-27.509, 7.385), (-27.968, 7.385), (-27.964, 5.989)]
113;100;;;0;1,66;[248, 246, 249, 250];[(-27.968, 7.385), (-27.968, 7.801), (-31.976, 7.801), (-31.976, 7.385)]
114;100;;;0;0,16;[250, 249, 251, 252];[(-31.976, 7.385), (-31.976, 7.801), (-32.369, 7.801), (-32.369, 7.385)]
115;100;;;0;0,50;[250, 252, 254, 253];[(-31.976, 7.385), (-32.369, 7.385), (-32.369, 6.113), (-31.976, 6.113)]
116;100;;;0;0,03;[251, 249, 255, 256];[(-32.369, 7.801), (-31.976, 7.801), (-31.976, 7.874), (-32.369, 7.874)]
117;1;;;0;0,36;[253, 254, 258, 257];[(-31.976, 6.113), (-32.369, 6.113), (-32.369, 5.209), (-31.976, 5.209)]
118;100;;;0;1,10;[257, 258, 260, 259];[(-31.976, 5.209), (-32.369, 5.209), (-32.369, 2.408), (-31.976, 2.408)]
119;100;;;0;0,16;[259, 260, 262, 261];[(-31.976, 2.408), (-32.369, 2.408), (-32.369, 2.008), (-31.976, 2.008)]
120;100;;;0;0,25;[261, 262, 264, 263];[(-31.976, 2.008), (-32.369, 2.008), (-32.369, 1.364), (-31.976, 1.364)]
121;1;;;0;0,37;[263, 264, 266, 265];[(-31.976, 1.364), (-32.369, 1.364), (-32.369, 0.432), (-31.976, 0.432)]
122;100;;;0;0,50;[265, 266, 268, 267];[(-31.976, 0.432), (-32.369, 0.432), (-32.369, -0.849), (-31.976, -0.849)]
123;100;;;0;0,18;[267, 268, 270, 269];[(-31.976, -0.849), (-32.369, -0.849), (-32.369, -1.301), (-31.976, -1.301)]
124;100;;;0;0,58;[269, 270, 272, 271];[(-31.976, -1.301), (-32.369, -1.301), (-32.369, -2.766), (-31.976, -2.766)]
125;100;;;0;0,08;[271, 272, 274, 273];[(-31.976, -2.766), (-32.369, -2.766), (-32.369, -2.978), (-31.976, -2.978)]
126;100;;;0;0,83;[182, 271, 273, 180];[(-27.964, -2.783), (-31.976, -2.766), (-31.976, -2.978), (-27.964, -2.987)]
127;1;;;0;0,36;[275, 276, 278, 277];[(-31.976, -9.299), (-32.369, -9.299), (-32.369, -10.206), (-31.976, -10.206)]
128;100;;;0;1,10;[174, 277, 278, 172];[(-31.965, -12.904), (-31.976, -10.206), (-32.369, -10.206), (-32.387, -12.904)]
129;100;;;0;0,07;[270, 268, 279, 280];[(-32.369, -1.301), (-32.369, -0.849), (-32.518, -0.849), (-32.518, -1.301)]
130;100;;;0;0,06;[262, 260, 281, 282];[(-32.369, 2.008), (-32.369, 2.408), (-32.509, 2.408), (-32.509, 2.008)]
131;18;417;;0;30,88;[162, 502, 500, 283, 285, 287, 163];[(-38.807, -1.586), (-38.807, -8.963), (-34.77, -8.978), (-34.77, -4.041), (-34.77, -3.114), (-34.77, -1.33), (-38.807, -1.311)]
132;1;;;0;0,40;[283, 284, 286, 285];[(-34.77, -4.041), (-34.34, -4.041), (-34.34, -3.114), (-34.77, -3.114)]
133;100;;;0;0,77;[285, 286, 288, 287];[(-34.77, -3.114), (-34.34, -3.114), (-34.34, -1.33), (-34.77, -1.33)]
134;100;;;0;0,21;[287, 288, 290, 289];[(-34.77, -1.33), (-34.34, -1.33), (-34.34, -0.84), (-34.77, -0.84)]
135;100;;;0;0,05;[289, 290, 292, 291];[(-34.77, -0.84), (-34.34, -0.84), (-34.34, -0.735), (-34.77, -0.735)]
136;1;;;0;1,14;[291, 292, 294, 293];[(-34.77, -0.735), (-34.34, -0.735), (-34.34, 1.914), (-34.77, 1.914)]
137;100;;;0;0,04;[293, 294, 296, 295];[(-34.77, 1.914), (-34.34, 1.914), (-34.34, 2.002), (-34.77, 2.002)]
138;100;;;0;0,04;[297, 296, 298, 299];[(-34.34, 2.404), (-34.34, 2.002), (-34.244, 2.002), (-34.244, 2.404)]
139;100;;;0;0,35;[304, 303, 305, 306];[(-34.748, 7.14), (-34.34, 7.14), (-34.34, 8.003), (-34.748, 8.003)]
140;1;;;0;0,32;[306, 305, 307, 308];[(-34.748, 8.003), (-34.34, 8.003), (-34.34, 8.792), (-34.748, 8.792)]
141;100;;;0;0,49;[140, 308, 307, 138];[(-34.767, 10.0), (-34.748, 8.792), (-34.34, 8.792), (-34.359, 10.0)]
142;100;;;0;1,97;[163, 287, 289, 161];[(-38.807, -1.311), (-34.77, -1.33), (-34.77, -0.84), (-38.807, -0.825)]
143;100;;;0;0,82;[198, 224, 226, 196];[(-17.402, 5.989), (-17.413, 10.12), (-17.605, 10.12), (-17.609, 5.989)]
144;100;;;0;7,22;[585, 121, 122, 586];[(-22.34, 17.584), (-31.779, 17.584), (-31.779, 16.819), (-22.34, 16.819)]
145;100;;;0;0,21;[311, 312, 314, 313];[(-27.98, 12.83), (-27.98, 12.361), (-27.529, 12.361), (-27.529, 12.83)]
146;100;;;0;0,05;[314, 312, 315, 316];[(-27.529, 12.361), (-27.98, 12.361), (-27.98, 12.246), (-27.529, 12.246)]
147;100;;;0;1,50;[584, 318, 317, 583];[(-22.195, 12.361), (-18.986, 12.361), (-18.986, 12.83), (-22.195, 12.83)]
148;1;;;0;0,41;[317, 318, 320, 319];[(-18.986, 12.83), (-18.986, 12.361), (-18.104, 12.361), (-18.104, 12.83)]
149;100;;;0;0,40;[319, 320, 322, 321];[(-18.104, 12.83), (-18.104, 12.361), (-16.997, 12.361), (-17.497, 12.83)]
150;100;;;0;0,05;[326, 322, 324, 327];[(-16.591, 12.361), (-16.997, 12.361), (-16.997, 12.228), (-16.591, 12.228)]
151;100;;;0;0,70;[120, 321, 323, 118];[(-17.499, 16.819), (-17.497, 12.83), (-17.318, 12.83), (-17.324, 16.819)]
152;100;;;0;0,31;[322, 326, 325, 323, 321];[(-16.997, 12.361), (-16.591, 12.361), (-16.591, 12.83), (-17.318, 12.83), (-17.497, 12.83)]
153;100;;;0;0,26;[600, 599, 329, 328];[(-14.648, 12.83), (-14.648, 12.361), (-14.101, 12.361), (-14.101, 12.83)]
154;1;;;0;0,42;[328, 329, 331, 330];[(-14.101, 12.83), (-14.101, 12.361), (-13.209, 12.361), (-13.209, 12.83)]
155;100;;;0;0,44;[330, 331, 333, 332];[(-13.209, 12.83), (-13.209, 12.361), (-12.271, 12.361), (-12.271, 12.83)]
156;100;;;0;0,17;[332, 333, 335, 334];[(-12.271, 12.83), (-12.271, 12.361), (-11.9, 12.361), (-11.9, 12.83)]
157;100;;;0;0,84;[325, 326, 597, 598];[(-16.591, 12.83), (-16.591, 12.361), (-14.797, 12.361), (-14.797, 12.83)]
158;100;;;0;2,13;[335, 337, 336, 334];[(-11.9, 12.361), (-7.35, 12.361), (-7.35, 12.83), (-11.9, 12.83)]
159;100;;;0;0,66;[112, 341, 340, 110];[(-7.3, 16.819), (-7.29, 12.83), (-7.128, 12.83), (-7.131, 16.819)]
160;100;;;0;0,19;[336, 337, 339, 338, 340, 341];[(-7.35, 12.83), (-7.35, 12.361), (-6.945, 12.361), (-6.945, 12.83), (-7.128, 12.83), (-7.29, 12.83)]
161;100;;;0;0,29;[338, 339, 342, 343];[(-6.945, 12.83), (-6.945, 12.361), (-6.329, 12.361), (-6.329, 12.83)]
162;100;;;0;2,08;[609, 348, 349, 106, 608, 605, 108, 347, 346, 606];[(-1.833, 12.361), (-1.741, 12.361), (-1.741, 12.83), (-1.736, 16.819), (-1.831, 16.819), (-1.95, 16.819), (-2.212, 16.819), (-2.201, 12.83), (-2.201, 12.361), (-1.948, 12.361)]
163;17;425;;0;19,64;[110, 340, 338, 343, 345, 347, 108, 107];[(-7.131, 16.819), (-7.128, 12.83), (-6.945, 12.83), (-6.329, 12.83), (-5.4, 12.83), (-2.201, 12.83), (-2.212, 16.819), (-2.319, 16.819)]
164;100;;;0;0,04;[349, 348, 350, 351];[(-1.741, 12.83), (-1.741, 12.361), (-1.665, 12.361), (-1.665, 12.83)]
165;100;;;0;1,54;[9, 10, 364, 362];[(7.926, 5.987), (8.354, 5.987), (8.357, 9.611), (7.943, 9.652)]
166;100;;;0;1,44;[610, 365, 5, 353, 203, 607];[(-1.949, 10.096), (-4.837, 10.096), (-4.837, 9.679), (-1.394, 9.679), (-1.394, 10.096), (-1.831, 10.096)]
167;100;;;0;0,21;[359, 362, 364, 363];[(7.921, 10.095), (7.943, 9.652), (8.357, 9.611), (8.357, 10.139)]
168;100;;;0;0,17;[359, 363, 360, 361];[(7.921, 10.095), (8.357, 10.139), (8.357, 10.511), (7.921, 10.511)]
169;100;;;0;0,51;[371, 370, 372, 373];[(7.308, 12.382), (8.357, 12.382), (8.395, 12.856), (7.308, 12.856)]
170;100;;;0;0,03;[375, 374, 376, 377];[(17.481, 12.856), (17.481, 12.382), (17.539, 12.382), (17.539, 12.856)]
171;100;;;0;0,24;[379, 378, 377, 376, 381, 382, 380];[(17.883, 12.856), (17.628, 12.856), (17.539, 12.856), (17.539, 12.382), (17.539, 12.242), (17.972, 12.242), (17.972, 12.382)]
172;100;;;0;2,93;[539, 540, 383, 384];[(21.854, 12.856), (21.854, 12.382), (28.044, 12.382), (28.044, 12.856)]
173;100;;;0;0,20;[384, 383, 385, 386];[(28.044, 12.856), (28.044, 12.382), (28.461, 12.382), (28.461, 12.856)]
174;100;;;0;1,97;[385, 80, 82, 386];[(28.461, 12.382), (32.595, 12.378), (32.595, 12.859), (28.461, 12.856)]
175;100;;;0;0,06;[385, 383, 388, 389];[(28.461, 12.382), (28.044, 12.382), (28.044, 12.245), (28.461, 12.245)]
176;100;;;0;0,94;[353, 628, 357, 630];[(-1.394, 9.679), (-1.383, 4.483), (-1.206, 4.483), (-1.21, 9.678)]
177;100;;;0;2,63;[633, 397, 396, 632];[(10.456, 10.139), (17.539, 10.139), (17.539, 10.511), (10.456, 10.511)]
178;100;;;0;0,28;[390, 391, 393, 392, 618, 619];[(3.116, 12.382), (3.116, 12.856), (2.533, 12.856), (2.533, 12.382), (2.643, 12.382), (2.746, 12.382)]
179;100;;;0;0,06;[392, 393, 395, 394];[(2.533, 12.382), (2.533, 12.856), (2.397, 12.856), (2.397, 12.382)]
180;100;;;0;2,34;[95, 393, 391, 93];[(2.54, 16.925), (2.533, 12.856), (3.116, 12.856), (3.108, 16.925)]
181;100;;;0;3,61;[526, 629, 628, 524];[(-6.917, 3.829), (-1.383, 3.829), (-1.383, 4.483), (-6.917, 4.483)]
182;100;;;0;4,31;[374, 375, 372, 370];[(17.481, 12.382), (17.481, 12.856), (8.395, 12.856), (8.357, 12.382)]
183;100;;;0;1,06;[89, 378, 379, 87];[(17.613, 16.925), (17.628, 12.856), (17.883, 12.856), (17.88, 16.925)]
184;18;401;;0;59,87;[84, 87, 379, 538, 539, 384, 386, 82];[(32.595, 16.925), (17.88, 16.925), (17.883, 12.856), (20.937, 12.856), (21.854, 12.856), (28.044, 12.856), (28.461, 12.856), (32.595, 12.859)]
185;1;;;0;0,84;[388, 411, 412, 389];[(28.044, 12.245), (28.093, 10.613), (28.703, 10.613), (28.461, 12.245)]
186;1;;;0;0,69;[381, 401, 402, 382];[(17.539, 12.242), (17.539, 10.632), (17.964, 10.632), (17.972, 12.242)]
187;100;;;0;0,28;[398, 400, 399, 402, 401, 396, 397];[(18.166, 10.139), (18.342, 10.139), (17.964, 10.511), (17.964, 10.632), (17.539, 10.632), (17.539, 10.511), (17.539, 10.139)]
188;100;;;0;0,71;[14, 400, 398, 12];[(18.334, 5.987), (18.342, 10.139), (18.166, 10.139), (18.168, 5.987)]
189;100;;;0;0,77;[399, 400, 404, 403];[(17.964, 10.511), (18.342, 10.139), (20.22, 10.139), (20.22, 10.511)]
190;1;;;0;0,33;[403, 404, 406, 405];[(20.22, 10.511), (20.22, 10.139), (21.114, 10.139), (21.114, 10.511)]
