ИНСТИТУТ;ФАКУЛЬТЕТ;КАФЕДРА;КАБИНЕТ;ССЫЛКА;;;
;;Кафедра электроснабжения;8-108;https://www.vyatsu.ru/studentu-1/nauka-i-praktika/etf/novosti-fakul-teta-etf/kafedra-elektrosnabzheniya-1.html;;;
;;Кафедра электрических машин и аппаратов;8-302;https://www.vyatsu.ru/studentu-1/nauka-i-praktika/etf/novosti-fakul-teta-etf/kafedra-elektricheskih-mashin-i-apparatov.html;;;
;;Кафедра электрических станций;8-502;https://www.vyatsu.ru/internet-gazeta/kafedra-elektricheskih-stantsiy-1.html;;;
;;Кафедра электроэнергетических систем;8-403;https://www.vyatsu.ru/studentu-1/nauka-i-praktika/etf/kafedra-elektroenergeticheskih-sistem.html;;;
;;Кафедра теплотехники и гидравлики;8-406;https://www.vyatsu.ru/internet-gazeta/kafedra-teplotehniki-i-gidravliki.html;;;
;Факультет строительства и архитектуры;;6-205;https://www.vyatsu.ru/studentu-1/nauka-i-praktika/fsa-1.html;;;
;;Кафедра архитектуры и градостроительства;6-404;https://www.vyatsu.ru/studentu-1/nauka-i-praktika/fsa-1/kafedra-arhitekturyi/kafedra-arhitekturyi.html;;;
;;Кафедра Механики и инженерной графики;1-605;https://www.vyatsu.ru/internet-gazeta/nashi-novosti/obschestvennaya-zhizn/kafedra-nachertatel-noy-geometrii-i-chercheniya-1.html;;;
;;Кафедра промышленной безопасности и инженерных систем;1-418;https://www.vyatsu.ru/studentu-1/nauka-i-praktika/fsa-1/kafedra-arhitekturyi/kafedra-promyishlennoy-ekologii-i-bezopasnosti.html;;;
;;Кафедра строительного производства;6-303;https://www.vyatsu.ru/studentu-1/nauka-i-praktika/fsa-1/kafedra-arhitekturyi/kafedra-stroitel-nogo-proizvodstva.html;;;
;;Кафедра строительных конструкций и машин;6-408;https://www.vyatsu.ru/studentu-1/nauka-i-praktika/fsa-1/kafedra-arhitekturyi/kafedra-stroitel-nyih-konstruktsiy.html;;;
;Факультет технологии, инжиниринга и дизайна;;10-202А;https://www.vyatsu.ru/studentu-1/nauka-i-praktika/fam-2/o-fakul-tete-avtomatizatsii-mashinostroeniya-fam.html;;;
;;Кафедра информационных технологий в машиностроении;10-210;https://www.vyatsu.ru/nash-universitet/nauchnaya-deyatel-nost-1/konkursyi/kafedra-informatsionnyih-tehnologiy-v-mashinostroe.html;;;
;;Кафедра машин и технологии деревообработки;10-204;http://www.vyatsu.ru/nash-universitet/nauchnaya-deyatel-nost-1/konkursyi/kafedra-mashin-i-tehnologii-derevoobrabotki.html;;;
;;Кафедра технологии машиностроения;10-208;http://www.vyatsu.ru/studentu-1/nauka-i-praktika/fam-2/kafedra-tehnologii-mashinostroeniya-2.html;;;
;;Кафедра технологии и дизайна;4-702;http://www.vyatsu.ru/nash-universitet/nauchnaya-deyatel-nost-1/konkursyi/kafedra-hudozhestvenoy-obrabotki-materialov.html;;;
;;Кафедра дизайна и изобразительного искусства;17-272;https://www.vyatsu.ru/studentu-1/nauka-i-praktika/fakul-tet-tehnologiy-inzhiniringa-i-dizayna/kafedra-dizayna-i-izobrazitel-nogo-iskusstva;;;
;;Кафедра технологии и методики преподавания технологии;17-271;https://www.vyatsu.ru/studentu-1/nauka-i-praktika/fakul-tet-tehnologiy-inzhiniringa-i-dizayna/kafedra-tehnologii-i-metodiki-prepodavaniya-tehnol;;;
;;Кафедра материаловедения и основ конструирования;1-103;http://www.vyatsu.ru/studentu-1/nauka-i-praktika/fam-2/kafedra-materialovedeniya-i-osnov-konstruirovaniya.html;;;
Институт математики и информационных систем;;;2-204;https://www.vyatsu.ru/studentu-1/nauka-i-praktika/institut-matematiki-i-informatsionnyih-sistem.html;;;
;Факультет компьютерных и физико-математических наук;;14-235;https://www.vyatsu.ru/studentu-1/nauka-i-praktika/institut-matematiki-i-informatsionnyih-sistem/fakul-tet-komp-yuternyih-i-fiziko-matematicheskih.html;;;
;;Кафедра цифровых технологий в образовании;16-423;https://www.vyatsu.ru/studentu-1/nauka-i-praktika/institut-matematiki-i-informatsionnyih-sistem/kafedra-informatsionnyih-tehnologiy-i-metodiki-obu.html;;;
;;Кафедра прикладной математики и информатики;14-139;https://www.vyatsu.ru/studentu-1/nauka-i-praktika/institut-matematiki-i-informatsionnyih-sistem/kafedra-fundamental-noy-informatiki-i-prikladnoy-m-1;;;
;;Кафедра фундаментальной математики;14-203;https://www.vyatsu.ru/studentu-1/nauka-i-praktika/institut-matematiki-i-informatsionnyih-sistem/kafedra-fundamental-noy-i-komp-yuternoy-matematiki/kafedra-fundamental-noy-i-komp-yuternoy-matematiki.html;;;
;;Кафедра физики;14-342;https://www.vyatsu.ru/internet-gazeta/kafedra-fiziki-1.html;;;
;Факультет автоматики и вычислительной техники;;2-200;https://www.vyatsu.ru/abiturientu/univers/fakul-tetyi-kafedryi/about-favt.html;;;
;;Кафедра систем автоматизации управления;2-400;https://www.vyatsu.ru/studentu-1/nauka-i-praktika/favt-2/kafedra-avtomatiki-i-telemehaniki-1.html.html;;;
;;Кафедра электронных вычислительных машин;2-305;https://www.vyatsu.ru/studentu-1/obschestvennyie-organizatsii/anonsyi-meropriyatiy-1/kafedra-evm.html.html;;;
;;Кафедра радиоэлектронных средств;3-213;https://www.vyatsu.ru/studentu-1/nauka-i-praktika/fpmt-2/department-of-radio-electronic.html;;;
Институт экономики и менеджмента;;;16-312;https://www.vyatsu.ru/abiturientu/univers/fakul-tetyi-kafedryi/sotsial-no-ekonomicheskiy-fakul-tet.html;;;
;Факультет экономики и финансов;;16-200;https://www.vyatsu.ru/studentu-1/nauka-i-praktika/sef-2/fakul-tet-ekonomiki-i-finansov.html;;;
;;Кафедра экономики;16-305;http://www.vyatsu.ru/studentu-1/nauka-i-praktika/sef-2/kafedra-ekonomiki-1.html;;;
;;Кафедра финансов и экономической безопасности ;16-223;http://www.vyatsu.ru/sotrudniku/doska/kafedra-ekonomiki-ucheta-i-finansov.html;;;
;;Кафедра бухгалтерского учета, анализа и аудита ;16-213;http://www.vyatsu.ru/studentu-1/nauka-i-praktika/sef-2/kafedra-buhgalterskogo-ucheta-analiza-i-audita-1.html;;;
;Факультет менеджмента и сервиса;;14-126;https://www.vyatsu.ru/studentu-1/nauka-i-praktika/sef-2/fakul-tet-menedzhmenta-i-servisa.html;;;
;;Кафедра менеджмента и маркетинга;14-111В;http://www.vyatsu.ru/studentu-1/nauka-i-praktika/sef-2/kafedra-menedzhmenta-i-marketinga.html;;;
;;Кафедра государственного и муниципального управления;14-107Б;http://www.vyatsu.ru/sotrudniku/doska/kafedra-regional-noy-ekonomiki-i-upravleniya.html.html;;;
;;Кафедра туризма и управления персоналом;14-124;https://www.vyatsu.ru/sotrudniku/doska/kafedra-servisa-i-torgovogo-dela.html.html;;;
Педагогический институт;;;15-423А;https://www.vyatsu.ru/studentu-1/nauka-i-praktika/pedagogicheskiy-institut.html;;;
;Факультет педагогики и психологии;;15-439;https://www.vyatsu.ru/studentu-1/nauka-i-praktika/fakul-tet-pedagogiki-i-psihologii.html;;;
;;Кафедра педагогики;15-432;https://www.vyatsu.ru/internet-gazeta/kafedra-pedagogiki-1.html;;;
;;Кафедра дошкольного, начального и дефектологического образования образования;15-429;https://www.vyatsu.ru/studentu-1/nauka-i-praktika/fakul-tet-pedagogiki-i-psihologii.html;;;
;;Кафедра психологии;15-435;https://www.vyatsu.ru/internet-gazeta/kafedra-prakticheskoy-psihologii.html;;;
;;Базовая кафедра педагогических технологий и предметных методик;Лицей 21-133А;https://www.vyatsu.ru/internet-gazeta/bazovaya-kafedra-pedagogicheskih-tehnologiy-i-pred-1.html;;;
;Факультет физической культуры и спорта;;19-103;https://www.vyatsu.ru/studentu-1/fakul-tet-fizicheskoy-kul-turyi-i-sporta.html;;;
;;Кафедра физического воспитания;УСК-204;https://www.vyatsu.ru/studentu-1/nauka-i-praktika/gumanitarnyiy-2/internet-gazeta-onlinegf/kafedra-fizicheskogo-vospitaniya-2.html;;;
;;Кафедра спортивных дисциплин и адаптивной физической культуры;19-253;https://www.vyatsu.ru/studentu-1/nauka-i-praktika/kafedra-adaptivnoy-fizicheskoy-kul-turyi-i-metodik.html;;;
;;Кафедра медико-биологических дисциплин;19-202;https://www.vyatsu.ru/internet-gazeta/nashi-novosti/obschestvennaya-zhizn/kafedra-mediko-biologicheskih-distsiplin.html;;;
Институт гуманитарных и социальных наук;;;14-229;https://www.vyatsu.ru/studentu-1/nauka-i-praktika/gumanitarnyiy-2.html;;;
;Факультет истории, политических наук и культурологии;;14-207;https://www.vyatsu.ru/studentu-1/nauka-i-praktika/gumanitarnyiy-2/fakul-tet-istorii-politicheskih-nauk-i-kul-turolog.html;;;
;;Кафедра культурологии, социологии и философии;14-212;https://www.vyatsu.ru/studentu-1/nauka-i-praktika/gumanitarnyiy-2/internet-gazeta-onlinegf/kafedra-kul-turologii.html;;;
;;Кафедра истории и политических наук;14-216;https://www.vyatsu.ru/studentu-1/nauka-i-praktika/gumanitarnyiy-2/kafedra-vseobschey-istorii-i-politicheskih-nauk.html;;;
;;Кафедра социальной работы и молодежной политики;14-232;https://www.vyatsu.ru/studentu-1/nauka-i-praktika/gumanitarnyiy-2/kafedra-sotsial-noy-rabotyi-i-molodezhnoy-politiki.html;;;
;Факультет филологии и медиакоммуникаций;;14-326;https://www.vyatsu.ru/studentu-1/nauka-i-praktika/gumanitarnyiy-2/fakul-tet-filologii-i-mediakommunikatsiy.html;;;
;;Кафедра русского языка, культуры речи и методики обучения;14-325;https://www.vyatsu.ru/internet-gazeta/kafedra-russkogo-yazyika-kul-turyi-rechi-i-metodik.html;;;
;;Кафедра русской и зарубежной литературы и методики обучения;;https://www.vyatsu.ru/internet-gazeta/kafedra-russkoy-i-zarubezhnoy-literaturyi-i-metodi-1.html;;;
;;Кафедра журналистики и интегрированных коммуникаций;14-317;https://www.vyatsu.ru/studentu-1/nauka-i-praktika/gumanitarnyiy-2/kafedra-filologii-zhurnalistiki-i-intergirovannyih.html;;;
;Факультет лингвистики;;15-234;https://www.vyatsu.ru/studentu-1/nauka-i-praktika/gumanitarnyiy-2/fakul-tet-lingvistiki.html;;;
;;Кафедра иностранных языков неязыковых направлений;20-207;https://www.vyatsu.ru/studentu-1/nauka-i-praktika/gumanitarnyiy-2/internet-gazeta-onlinegf/kafedra-inostrannyih-yazyikov-1.html;;;
;;Кафедра лингвистики и перевода;15-220;https://www.vyatsu.ru/studentu-1/nauka-i-praktika/gumanitarnyiy-2/kafedra-lingvistiki-i-perevoda.html;;;
;;Кафедра иностранных языков и методики обучения иностранным языкам;15-238;https://www.vyatsu.ru/studentu-1/nauka-i-praktika/gumanitarnyiy-2/kafedra-inostrannyih-yazyikov-i-metodiki-obucheniy.html;;;
;Факультет международного образования;;13-201;https://www.vyatsu.ru/nash-universitet/obrazovatelnaya-deyatel-nost/dovuzovskoe-obrazovanie-1/o-podgotovitel-nom-fakul-tete-vyatgu.html;;;
;;Кафедра русского языка как иностранного (РКИ);13-109;https://www.vyatsu.ru/nash-universitet/obrazovatelnaya-deyatel-nost/dovuzovskoe-obrazovanie-1/kafedra-russkogo-yazyika-kak-inostrannogo-rki.html;;;
Юридический институт;;;13-107А;https://www.vyatsu.ru/studentu-1/nauka-i-praktika/yuridicheskiy.html;;;
;;Кафедра уголовного права, процесса и национальной безопасности;13-603;https://www.vyatsu.ru/studentu-1/nauka-i-praktika/yuridicheskiy/kafedra-ugolovno-pravovyih-distsiplin.html;;;
;;Кафедра судебных экспертиз;13-603;https://www.vyatsu.ru/studentu-1/nauka-i-praktika/yuridicheskiy/kafedra-sudebnyih-ekspertiz;;;
;;Кафедра теории и истории государства и права;13-611;https://www.vyatsu.ru/studentu-1/nauka-i-praktika/gumanitarnyiy-2/kafedra-politologii.html;;;
;;Кафедра гражданского права и процесса;13-203;https://www.vyatsu.ru/studentu-1/nauka-i-praktika/yuridicheskiy/kafedra-grazhdanskogo-prava-i-protsessa.html;;;
;;Кафедра конституционного, административного права и правового обеспечения государственной службы;13-202;https://www.vyatsu.ru/studentu-1/nauka-i-praktika/yuridicheskiy/kafedra-konstitutsionnogo-administrativnogo-prava.html;;;
;;Кафедра трудового и социального права;13-605;https://www.vyatsu.ru/studentu-1/nauka-i-praktika/yuridicheskiy/kafedra-trudovogo-i-sotsial-nogo-prava.html;;;
